"exp_id","main_prey","Rcomma","Temperature"
"alm_06_1_1","medium_shrimp",1,21
"alm_06_1_2","fish",1,21
"alm_06_2_3","medium_shrimp",NA,21
"alm_06_2_4","fish",NA,21
"bae_10_1_1","amphipods",1,20.5
"bae_10_1_2","amphipods",1,20.5
"bae_10_1_3","small_shrimp",1,20.5
"cap_20_1_1","medium_shrimp",1,15
"cap_20_1_2","medium_shrimp",1,15
"cap_20_1_3","medium_shrimp",1,15
"cor_08_1_1","medium_shrimp",1,18.5
"cor_08_1_2","starved shrimp",1,18.5
"dom_01a_1_1","medium_shrimp",1,27
"dom_01b_1_2","medium_shrimp",1,27
"dom_01b_2_3","medium_shrimp",1,27
"dom_01b_2_4","medium_shrimp",1,27
"dom_02_1_1","medium_shrimp",1,27
"dom_02_2_2","medium_shrimp",1,15
"dom_03a_1_1","medium_shrimp",0.714285714285714,19
"dom_03a_2_5","medium_shrimp",0.714285714285714,19
"dom_03a_3_6","medium_shrimp",1,20
"dom_03a_3_7","fish",1,20
"dom_03b_1_1","medium_shrimp",1.25,18
"dom_03b_1_2","medium_shrimp",1.25,18
"dom_03b_2_3","medium_shrimp",1,18
"dom_03b_2_4","medium_shrimp",1,18
"dom_04_1_1","small_shrimp",1,20
"dom_04_1_2","medium_shrimp",1,20
"dom_04_1_3","fish",1,20
"dom_04_2_4","medium_shrimp",1,20
"dom_04_2_5","fish",1,20
"dom_04_3_6","medium_shrimp",1,20
"dom_04_3_7","fish",1,20
"dom_04_4_8","medium_shrimp",1,24
"dom_04_4_9","fish",1,24
"dom_08_1_1","medium_shrimp",NA,21
"dom_08_1_2","fish",NA,21
"dom_08_1_3","crayfish",NA,21
"kou_00_1_1","small_shrimp",0.253333333333333,19
"kou_00_1_2","small_shrimp",0.506666666666667,19
"kou_00_1_3","small_shrimp",0.76,19
"kou_01_1_1","shrimp_mix",0,20
"kou_01_1_2","shrimp_mix",0.0285714285714286,20
"kou_01_1_3","shrimp_mix",0.0857142857142857,20
"kou_01_1_4","shrimp_mix",0.142857142857143,20
"kou_01_1_5","shrimp_mix",0.285714285714286,20
"kou_01_1_6","shrimp_mix",0.571428571428571,20
"kou_01_1_7","shrimp_mix",0.714285714285714,20
"kou_01_1_8","shrimp_mix",0.857142857142857,20
"kou_01_1_9","shrimp_mix",1,20
"kou_01_1_10","shrimp_mix",1.14285714285714,20
"kou_01_1_11","shrimp_mix",1.66666666666667,20
"kou_02_1_1","medium_shrimp",1.14285714285714,20
"kou_02_2_4","small_shrimp",1.14285714285714,20
"kou_02_3_6","medium_shrimp",1.14285714285714,20
"kou_99_1_1","shrimp_mix",0.6,19
"kou_99_1_2","shrimp_mix",0.857142857142857,19
"kou_99_1_3","shrimp_mix",1,19
"syk_03_1_1","medium_shrimp",1,23
"syk_03_2_4","medium_shrimp",1,23
"syk_03_2_5","medium_shrimp",1,23
"syk_03_3_6","medium_shrimp",1,25
"syk_03_3_7","medium_shrimp",1,25
"syk_03_3_8","medium_shrimp",1,25
"syk_06_1_1","medium_shrimp",1,17
"syk_06_3_3","medium_shrimp",1,15
"syk_06_4_4","medium_shrimp",1,21
"syk_13_1_1","medium_shrimp",1,24
"gri_04_1_1","medium_shrimp",1,19
"cla_89_1_2","small_shrimp",0,12.5
"cla_89_1_3","small_shrimp",0.145842217484009,12.5
"cla_89_1_4","small_shrimp",0.291684434968017,12.5
"cla_89_1_5","small_shrimp",0.486140724946694,12.5
"cla_89_1_6","small_shrimp",0.972281449893391,12.5
"cla_89_1_7","small_shrimp",1.45842217484009,12.5
"cla_89_1_8","small_shrimp",0.145842217484009,17.5
"cla_89_1_9","small_shrimp",0.291684434968017,17.5
"cla_89_1_10","small_shrimp",0.486140724946694,17.5
"cla_89_1_11","small_shrimp",0.972281449893391,17.5
"cla_89_1_12","small_shrimp",1.45842217484009,17.5
"lep_15_1_1","medium_shrimp",1,17.5
"cor_08b_1_1","small_shrimp",0.5,18.5
"cor_08b_1_2","small_shrimp",1,18.5
"cor_08b_2_1","medium_shrimp",0.428571428571429,18.5
"cor_08b_2_2","medium_shrimp",0.857142857142857,18.5
"fer_10_1_1","medium_shrimp",1,21
"fer_10_1_2","fish",1,21
"fer_10_1_3","crayfish",1,21
